Title	Text
The New Music review – Parkinson's meets punk in a feelgood fable	There are some moments of genuine feeling in this uneven Dublin-set indie about a classical pianist who joins the punk scene after being diagnosed with early-onset Parkinson’s. I wasn’t entirely sold on all the performances and there is a fair amount of predictability in the storytelling. But it’s a film made with warmth and sincerity, and the energy of the soundtrack by local bands helps along the awkward bits. Cilléin McEvoy is pianist Adrian, a former child prodigy on the brink of classical stardom. He reacts with fury and denial to his Parkinson’s diagnosis, disappearing off to Dublin where he rents the fourth room in a shared house. His flatmates are three carefree students in a punk band – two men and female drummer – who don’t spot his telltale tremors. Adrian has known nothing but music and discipline since childhood, and, dressed in his expensive suit and shiny leather loafers, he is the antithesis of punk. But inevitably his sniffiness about the band’s primitive songs gives way to appreciation. There is something in McEvoy’s buttoned-down, accountant-stiff performance that is somehow unconvincing – or perhaps the character is too thinly written. Certainly, he’s eclipsed by Martina Babisova, who gives a lovely natural performance as cool drummer Jodie. When he behaves like a total prat after they sleep together, she calls him out in a way that is disarmingly open and honest; their relationship gives the film its beating heart. Director Chiara Viale is Italian and her camera chases about the Dublin streets looking for fun and good times – it made me desperate to get on a plane and go somewhere, to see something new. The film is a little patchy, but its feelgood mood is hard to resist. • The New Music is available from 18 January on digital platforms.
The Doorman review – Ruby Rose turns model action hero	Model-turned-actor Ruby Rose (Orange Is the New Black, John Wick: Chapter 2), is utterly mesmerising to look at – with her lush lips, perfectly shaped eyebrows and macho tattoos – but so far the jury is very much out on whether she can act more than merely adequately. This action vehicle doesn’t exactly strengthen the case for her defence, although she moves with impressive grace in the actiony bits when required in closeups that show her character, Ali, whupping bad guys’ asses. Rose is meant to be a former marine, haunted by a botched assignment that cost the lives of a family she was protecting. In the film’s present tense, she takes a job as a doorman – shouldn’t it be “lobby attendant” or even “doorperson”? – at a posh New York City building, only to wander accidentally into a heist that goes very wrong. A strangely immobile-featured Jean Reno offers an almost self-parodying turn as the snobbish yet brutal French mastermind of the criminal gang, who are looking for paintings looted by the Nazis years back. Ali must protect the husband (Rupert Evans), teenage son (Julian Feder) and irritatingly spunky daughter (Kíla Lord Cassidy) from harm – which involves a lot of skulking in the building’s secret passageways, making for a mostly one-set shoot that looks like it saved a lot on budget. Director Ryuhei Kitamura, whose career began with pulpy horror fare, directs with efficiency but a seeming total lack of awareness of how silly this all looks from a distance. There’s little humour or invention to leaven the deadened inertness of the script. • The Doorman is available from 18 January on digital platforms.
Daniel review – terrifying tale of an Isis captive	Over the last couple of decades, Danish cinema has increasingly proved to have a strong aptitude for emotive, nuanced drama and intelligent engagement, particularly through documentary-making, with conflicts abroad. This inspired-by-a-true-story feature, from journeyman director Niels Arden Oplev (who helmed the original Girl With the Dragon Tattoo film) skilfully combines those two strands to tell the story of Daniel Rye, a young Danish photographer who was captured by Isis in Syria in 2013. Filmed in a wiggly, handheld fashion – such a signature of the Dogma 95 years it almost feels like a retro affectation – the plot tracks methodically through Daniel’s story, holding tight on the expressive face of Esben Smed, who rises to the physical challenges of the role. For starters, he has to convincingly pass as Rye when he was young enough to be a contender for the Danish gymnastics team, although presumably a stuntman performed most of the acrobatics we see. In the film, after an injury ruins Rye’s sports career, a shift into photojournalism takes him to Syria where he falls into the hands of Isis, which was barely known at that time. They demand a multimillion-dollar ransom, but the Danish government sticks to its policy of not negotiating with terrorists. The film toggles smoothly back and forth between Rye’s family back home, scrabbling to raise the money without letting the story get into the press, and Rye himself in Syria. Oplev doesn’t shy away from the depiction of torture and suffering experienced by Rye and his fellow prisoners, one of whom was James Foley, an American journalist whose plight became an international story. Anyone who followed the news at the time will know the tragedies that lay ahead, but the point here isn’t what happened but it why. There’s empathy for all those scarred by this conflict, even in a strange way for John (Amir El-Masry), the British-accented Isis jailer who makes Rye’s life hell but is revealed in closeup to be consumed with his own kind of psychic pain. This is another film about a white European mixed up in a Middle Eastern war they barely seem to understand, but on its own terms it’s a story well told. • Daniel is available from 18 January on digital formats.
'The most honest person I ever met': Chadwick Boseman's widow pays tribute at Gotham film awards	The first significant awards event of the current film cycle spread its net wide, but the main attention of the 2021 Gotham awards, designed to reward independent film-makers, was focused on a tearful speech given by Simone Ledward as she accepted an award on behalf of her late husband Chadwick Boseman. Boseman had been announced as a recipient of the Gothams’ annual tribute award, along with Viola Davis, Steve McQueen and Ryan Murphy. Ledward, whose marriage to Boseman was made public only after the actor’s death, said in her speech: “He was the most honest person I ever met … He was blessed to live many lives within his concentrated one. He harnessed the power of letting go and letting God’s love shine through. May we not let his conviction be in vain. It is my honour on behalf of my husband.” She added: “Chad … thank you. I love you. I am so proud of you. Keep shining your light on us.” Boseman was also nominated for best actor for his performance in Ma Rainey’s Black Bottom, a biopic of the celebrated blues singer played by Davis. However, in the event the award went to Riz Ahmed for his role as a drummer with hearing problems in Sound of Metal, catapulting Ahmed into the wider awards race. There was another surprise win in the best actress category, with Nicole Beharie winning for her performance as a former pageant winner in Miss Juneteeth, defeating strong favourite Frances McDormand who had been nominated for festival hit Nomadland. However, Nomadland, the widely admired study of retiree victims of the 2008 financial crash directed by Chloé Zhao, did take two prizes – best feature and the audience award – making it the only film to claim more than one win on the night, cementing its status as an Oscar frontrunner. Michaela Coel’s I May Destroy You continued its remarkable run by picking up the breakthrough series – short format award. Full list of awards Best feature Nomadland Best documentary A Thousand Cuts Best international feature Identifying Features Breakthrough director award Andrew Patterson, The Vast of Night Best screenplay The Forty-Year-Old Version and Fourteen (joint winners) Best actor Riz Ahmed, Sound of Metal Best actress Nicole Beharie, Miss Juneteenth Breakthrough actor Kingsley Ben-Adir, One Night in Miami Breakthrough series – long format Watchmen Breakthrough Series – short format I May Destroy You Audience award Nomadland
Hunted review – Red Riding Hood reboot is a nifty, nasty trip into the woods	Cinematic rethinks of classic fairytales, especially Red Riding Hood, are a micro-genre about as exasperating and banal as the “year X called and it wants its Y back” joke. In Hunted’s case insert, 1985 for X and “postmodern feminist trope” for Y. Nevertheless, this uncomfortable but adroitly executed horror version in which a young woman is chased through the woods by toxic male monsters is pretty good stuff: unnerving in the right ways and flecked with colourful, unexpected specks of wit. In what presumably must be rural Ireland given most of the supporting characters’ accents, Eve (Lucie Debay, feral and fierce) is a bit of an outsider, a French woman stuck in the middle of nowhere supervising the construction of a housing estate. A chance visit to a local bar brings her into the orbit of a charming, vulpine-featured nameless stranger who sounds American but is actually played by the French actor Arieh Worthalter. After he saves her from the aggressive attentions of another guy (Ciaran O’Brien), Eve lets down her guard only to find herself kidnapped by a psychotic, sadistic misogynist. Even worse, he’s a psychotic sadistic misogynist with a movie camera, and we all know how evil they are. From there on out, the rest of film is the narrative slap and tickle of escape-recapture as Eve, dressed in red duffel coat, tries to get away. She is in an ancient, soggy forest where there are a few other characters wandering around, ready to fill the roles of grandma and woodsman. But director Vincent Paronnaud, working from a script he co-wrote with Léa Pernollet and David H Pickering, adds a few kinks that divert the story from the tracks laid down by the fairytale origins. Thankfully, we only see glimpses of the footage of tortured women on the hideously believable nemesis’s camera, so ultimately the movie – just about – feels more like a critique of the character’s woman-hating mindset rather than a vehicle for it. Released on 14 January on Shudder.
Recon review – GIs on a mission to nowhere	The Tenet-style action “rewind” in Recon’s opening scene suggests this adaptation of Richard Bausch’s 2008 novel Peace, based on his grandfather’s wartime experiences, might offer more than the average second world war thriller. Don’t get your hopes up. There’s no time travel, nor multi-perspective narrative tricks, nor even an innovative depiction of trauma’s impact on memory. Recon takes place in just the single dimension of reality, and a rather leaden one at that. Alexander Ludwig (Vikings) stars as Marson, a US army corporal stationed somewhere in Italy, who is sent trudging into the mountains by a callous commanding officer on a pointless and potentially suicidal reconnaissance mission. He and his small crew are irritable, exhausted and haunted by a recently witnessed war crime, all of which they articulate at length as they struggle through the snow. Their guide is an elderly farmer (Franco Nero, AKA Mr Vanessa Redgrave; furnishing the film with some Italian suavity) who was unfortunate enough to have crossed their path. He may or may not be a secret Nazi sympathiser leading them into a trap, and his habit of mumbling, “I had a family … tutti morti,” doesn’t do much to allay suspicions. The soldiers’ chit-chat has some Catch-22-esque wit to it – especially when delivered by Marson’s Brooklyn-accented brother-in-arms Asch (a standout Chris Brochu). But there’s altogether too much of it. In a real combat situation, surely arguing this loudly about Hershey bars and baseball odds would have drawn the unwelcome attention of enemy forces, with deadly consequences. The fact that it doesn’t here saps any potential dramatic tension from the situation, notwithstanding all the unseen snipers and landmines they encounter. Bausch’s book has been praised for its existential profundity on religious matters, but very little of that makes it to the screen. • Recon is on digital platforms from 18 January.
Blithe Spirit review – Judi Dench presides over a deathly farce	The classic Noël Coward comedy about a ghost (first filmed by David Lean in 1945 with Rex Harrison) has now been adapted again, with stage and TV director Edward Hall making his movie debut. It can only be described as an un-reinvention, a tired, dated and unfunny period piece that changes the original plot a bit but offers no new perspective, and no new reason to be doing it in the first place. (Not compared with, say, Matthew Warchus’s stage revival of Coward’s Present Laughter at the Old Vic, with Andrew Scott radically reinventing the leading role.) This film looks unironically like the tatty old musical revue show that Ken Russell imagined for his “meta” adaptation of The Boy Friend. Dan Stevens plays crime writer Charles Condomine, who has been creatively blocked since the death of his first wife Elvira (Leslie Mann) seven years before, and now tensely remarried to the more uptight Ruth (Isla Fisher). He has the idea of putting a spiritualist into the new movie screenplay he’s working on, and invites a notorious stage medium, Madame Arcati (Judi Dench), to his house to perform a seance, so that he can do some research into the wiles of these confidence tricksters. But, to his astonishment (and Madame Arcati’s), the seance brings back the ghost of Elvira, who wreaks havoc. Despite the heavyweight cast, the film’s production values are those of a kids’ TV show that might go out on a weekday afternoon. Dench does her best with the role of Madame Arcati, and she even has a notably surreal moment, carrying out an occult ceremony in a beachside cave. But the rest is a festival of mugging and farcical overacting, and the Cowardian style seems brittle without any snap. • Blithe Spirit is on Sky Cinema from 15 January.
Imperial Blue review – Ugandan adventures of a drug-smuggling dope	Drug smuggler Hugo (Nicolas Fagerberg) has “the connect”. Or he’d like to think he does. Certainly this debut feature from British director Dan Moss knows several good spots, guiding us through a series of impressive locations with the confidence of a seasoned traveller. After Hugo’s big-money hashish deal in a partly flooded Mumbai building site goes wrong, he’s introduced to Bulu, a blue-powdered hallucinogen with mystical properties. “They say it makes you see the future,” says his go-between (Ashish Verma). Could this mysterious substance make Hugo enough money to satisfy his UK-based bosses? He’ll have to track down a supply source first. Everything about the London drug world that Hugo then stops off in – from the 80s punk get-ups of the big players to the readiness with which these supposedly shrewd operators approve Hugo’s wild goose chase – is risibly unrealistic. But he’s soon en route to “Fort Lugard, Uganda”, where the plot is on safer ground. The wise decision to employ locals where possible tells in the compelling specificity of the Ugandan settings and characters. Esther Tebandeke and Rehema Nanfuka are both excellent as, respectively, Kisakye, a village woman with access to the blue stuff and a healthy suspicion of Hugo, and Angela, Kisakye’s more worldly, scheming sister. Hugo is also a very believable example of the kind of straggly bearded adventure-seeker who’s convinced he’s blending in with the locals. Too believable, almost. These guys get tiresome after a 10-minute chat at the backpacker hostel bar, so why construct a whole film around his story? Especially with an abundance of more intriguing characters relegated to the margins. Imperial Blue aims at a knowing satire of colonial arrogance, yet still, somehow, it’s all about the white guy. Eurocentrism is one helluva drug. • Imperial Blue is available from 18 January on digital platforms.
Stardust review – David Bowie biopic is an odd-couple oddity	The very talented actor and musician Johnny Flynn here makes a perfectly game attempt to impersonate the young David Bowie in this ironised and fictionalised account of Bowie’s 1971 US publicity tour which – partly – inspired his Ziggy Stardust persona. Flynn carries off Bowie’s clothes and delicate mannerisms plausibly enough and, impressively, he does his own singing. But, all too often, this Bowie looks as if he is presenting TV’s Bake Off. Bowie arrived at Washington DC’s Dulles airport where an immigration official called him a “fag”, and where Mercury Records publicity man Ron Oberman (played here by comic Marc Maron) arrived to meet him, having got a lift to the airport from his mum and dad, and took the bemused Bowie back for a home-cooked family meal, like a 13-year-old foreign exchange student. The movie shows this, but where in reality the tour saw Bowie fly to major cities, meeting with Oberman a few times and doing interviews, the movie escalates this to a huge comedy-odd-couple road trip. Oberman and Bowie head across the country in Ron’s uncool, un-rock’n’roll station wagon, with Bowie playing disastrous, low-key gigs and Ron becoming a Spinal Tap-type PR goof who is mortified at the poor turnout. Meanwhile, back in London, Jena Malone plays the heavily pregnant Angie Bowie, who comes across as a charmlessly shrill and bad-tempered scold, and David is having traumatised flashback memories of his troubled brother Terry (Derek Moran). The movie makes a laboured connection between Terry’s mental illness and David’s dark imaginings, a connection that surely comes close to misunderstanding the nature of schizophrenia. And so the tour goes on, and Bowie providentially hears (or hears about) the music of Iggy Pop and cult psychobilly star Legendary Stardust Cowboy, which fed into the Ziggy Stardust creation. This is a strained, frustrating concoction that doesn’t do its subject justice. Flynn really can sing, though. • Stardust is available from 15 January on digital platforms.
Macaulay Culkin joins calls to get Donald Trump cameo removed from Home Alone 2	Home Alone star Macaulay Culkin has endorsed social media comments demanding Donald Trump’s cameo in the film’s sequel be digitally removed and replaced with one of an older version of Culkin himself. Culkin replied to a tweet that asked “petition to digitally replace trump in ‘home alone 2’ with 40-year-old macaulay culkin” with the single word: “Sold.” Culkin then followed up by responding “Bravo” to another tweet that contained a comic edit of Trump replaced by empty space. Trump appears briefly in Home Alone 2: Lost in New York when Culkin, as its hero Kevin, asks him for directions to the lobby of the Plaza hotel, which Trump owned at the time. In an interview with Insider in December 2020, the film’s director Chris Columbus said that Trump “did bully his way into the movie” by insisting he get a role in the film in return for allowing shooting to take place in the hotel. Columbus added that Trump’s cameo was a popular move: “When we screened it for the first time the oddest thing happened – people cheered when Trump showed up on screen. So I said to my editor, ‘Leave him in the movie. It’s a moment for the audience.’” A petition on change.org to replace Trump with Joe Biden had accrued 189 signatures at time of publication.
MLK/FBI review – startling study of the war against Martin Luther King	The FBI’s secret campaign of bugging, harassment and defamation against Martin Luther King Jr in the 60s is the subject of this startling but sometimes frustratingly reticent and guarded documentary. This poisonous dirty-tricks campaign continued until King’s assassination in Memphis in 1968, a murder that the bureau was somehow unable to prevent, despite its fanatical round-the-clock surveillance of King as well as its loudly proclaimed dedication to crimefighting. It is now a matter of record that King was a flawed human being and had extramarital sex, but this is an enduringly mysterious part of his public image. (Even Ava DuVernay’s very fine biopic account of King in her 2014 movie Selma, starring David Oyelowo, tactfully romanticises these indiscretions.) The bureau’s audio tapes of alleged meetings in hotel rooms were finally, in 1977, handed over to the National Archives by order of a federal judge but sealed – they cannot be released until 2027 at the earliest. What exactly will they prove? Anything at all? All we have right now are the typescripts of the agents’ highly subjective summary reports. This film from Sam Pollard, based largely on the work of Pulitzer-winning historian David J Garrow, shows how bizarrely toxic and dysfunctional the FBI’s campaign was, an ongoing secret war that involved running informants within the civil rights movement – a painful and even tragic aspect of this history that probably deserves a documentary of its own. Bureau director J Edgar Hoover was incensed by King’s leftist associations, and by his international celebrity, especially after he was awarded the Nobel peace prize in 1964. After chancing on evidence of his adultery, Hoover hoped to use this to undermine him, and with extraordinary spite circulated the tapes to King’s wife Coretta and even to church leaders and the press, apparently hoping (in vain) that someone would go public. There was even a suggestion that King was present at a rape – and this film, very gingerly indeed, comes close to hinting that there might one day be a #MeToo case to answer. But wait. Where is the proof here? Where is the naming of names? Surely the bureau, with all the dark powers at its command, could have induced one of King’s alleged mistresses to come forward and go public? Apparently not. It is a question that this film does not fully address, although it certainly gives us a queasily detailed picture of Hoover’s pure paranoid nastiness. • MLK/FBI is on digital platforms from 15 January.
