,Title,Text,,
175,Nest of Vampires review – a bloodless bid for the title of worst film ever,"There are bad movies, the kind of third-rate film-making we see all the time, and then there are transcendentally bad movies that can only result from deep, fanatical attachment to the material. Director, writer and producer Chris Sanders here achieves something on a par with Ed Wood’s Plan 9 from Outer Space or Tommy Wiseau’s The Room. His Nest of Vampires is a little-England horror-thriller with a plot as over-larded as an Elvis sandwich, uniformly appalling acting, and the same almost beatific earnestness as those two legendary films. MI5 agent Kit Valentine (Tom Fairfoot) leaves his London stamping ground to shake down some unnamed English town for a human trafficking ring that – after his wife is murdered – has abducted his daughter. He needs to get a move on, because the network sells off the girls to moneyed clients to butcher in satanic rituals. Not racy enough? Some of the criminals are also vampires who like a “nibble” on the customers. And Valentine is further up against it when his bosses reveal they are in cahoots. Tied to a chair, though, he has news for them: “You’re not the only secret society that operates within MI5.” Then his own canines turn extra-pointy. For a film so full of brain-freezing exposition, it takes inhuman effort to piece that plot description together. It’s actually a nest of non sequiturs, randomness the only governing principle in a sinkhole of characters, factions, ideas and twists. A prologue refers to lapis lazuli as a means by which vampires can withstand daylight, but this is barely mentioned again. One apparently Italian miscreant – implied to be a vampire, before he isn’t – sounds like the Dolmio Man when he resorts to English: “Good-a point-a!” If criminal networks really were this confusing, the police would have a collective nervous breakdown. Hidden in the aimless scenes and slack direction is the odd nugget of dialogue with a noirish gleam. But mostly it’s pure panto: “I’m about to do a spot of decorating. I was thinking dark red would suit this room.” It may be remiss to dump on a film that cost £30,000, but it seems to be only this type of film-making that can hit a pitch of such sublime pap. Maybe one day Nest of Vampires will get its own Disaster Artist-style eulogy. • Nest of Vampires is released on 16 March on digital platforms.",Nest of Vampires,FILM
176,Silk Road review – high-free account of the dark-web drugs emporium,"Here’s an unthrilling, bland drama about the rise and fall of Ross Ulbricht, the mastermind behind the illegal online drug emporium Silk Road (described by the FBI as “the Amazon of drug sites”). Between 2011 and 2013, PhD dropout Ulbricht made millions of dollars in commissions from users on the dark web anonymously buying and selling drugs. Then he got busted. If you consider how gripping David Fincher made a bunch of geeks in hoodies talking about algorithms look in The Social Network, the Ulbricht story – involving an FBI manhunt and allegations of murder-for-hire – should be a doddle. But watching Silk Road is a bit like rolling a joint only to find the leafy green substance you’ve been sold is oregano. The highs just don’t come. It starts in 2013, with the feds swooping on 29-year-old Ulbricht (an insipid performance from Nick Robinson) at a San Francisco library. In flashback, he emerges as an unlikely Silicon Valley founder. He ticks some of the dotcom boxes (flip-flops, standup desk, rooftop yoga, breathtaking arrogance), but – unusually – he is a rightwinger. The film’s voiceover borrows from blogs he posted on Silk Road spouting his antigovernment libertarian ideals. Director Tiller Russell is clearly team Ulbricht, and a needy tone creeps into the script; it desperately wants us to like Ulbricht, even when he’s plotting to bump off an employee-turned-informant. Meanwhile, Jason Clarke’s role as a drug enforcement officer falls back on stereotypes of knucklehead, bash-down-the-door cops. He plays Rick Bowden, who gets reassigned to cybercrime (after a stint in rehab) to serve out his last nine months on the job behind a desk. But what do you know, his good old-fashioned police work reaches places that detectives with master’s from MIT can’t. “I’ve been locking up bad guys since before you started shaving your balls,” he growls at his boss. Maybe kingpins aren’t what they used to be. Perhaps millennials have taken the excitement out of organised crime. You won’t find much in this movie. • Silk Road is released on 22 March on digital platforms.",Silk Road,FILM
177,Josie & Jack review – shockingly lifeless incest drama,"“Your dad kept you locked up in an old house,” a character drunkenly blurts out in this adaptation of Kelly Braffet’s gothic novel about childhood misery and brother-and-sister incest. “It’s soooo Flowers in the Attic.” If only! The most shocking thing about this movie is how stale and lifeless it is, as if entire scenes had been placed into a vacuum storage bag, zipped up, and sucked of all energy and human feeling. Set in the 1990s, it begins in rural Pennsylvania where 16-year-old Josie (Olivia DeJonge) and her older brother Jack (Alex Neustaedter) have been raised in a spooky old house by their physics professor father (William Fichtner). He’s a violent pompous drunk who homeschools the kids rather than sending them to “the idiot factory” local high school. In a few flatly acted scenes, he rants grandiosely about his university colleagues and hurls crockery at his children. Jack is a good-looking bad boy who instructs Josie to seduce the kid behind the counter of the local pharmacy so he can get his hands on prescription drugs. And Jack creepily paws at his sister, stroking her hair and walking into the bathroom when she’s in the shower. Director Sarah Lancaster’s script, co-written with Braffet, keeps the audience guessing right up to the end how far things have gone between them – but there is so little visible chemistry between the actors you may not care either way. Eventually, after a massive barney at home, the siblings escape, arriving penniless in New York where Jack attaches himself to an Upper West Side socialite, Lily – a brittle performance by Annabelle Dexter-Jones so good it deserves a better role. As for Josie, she is a disappointing non-character – often spotted with her nose in battered Kafka paperback to show she’s got a brain, but 90 minutes pass before she gets a chance to use it. Unintentionally, perhaps, the film is the story of monstrous men (a daddy dictator and controlling brother); the women are weirdly blank. • Josie &amp; Jack is released on 22 March on digital platforms.",Josie & Jack,FILM
178,Film industry celebrities boycott crisis-hit Golden Globes,"Film industry pressure on the Hollywood Foreign Press Association (HFPA), the body that organises the Golden Globe awards, has increased after more than 100 public relations firms sent a letter telling the organisation they had withdrawn all their celebrity clients from activities with the HFPA until it made “profound and lasting change” to correct what it described as the HFPA’s “longstanding exclusionary ethos … discriminatory behavior [and] ethical impropriety”. According to Variety, the letter, signed by high-profile PR outfits including DDA, Premier, 42West and Rogers &amp; Cowan/PMK, was delivered to the HFPA on Monday, following continuing criticism of the crisis-plagued organisation. The letter reads: “We cannot advocate for our clients to participate in HFPA events or interviews as we await your explicit plans and timeline for transformational change.” “Anything less than transparent, meaningful change that respects and honors the diversity and dignity of our clients, their colleagues and our global audience will result in immediate and irreparable damage to the relationship between our agencies, our clients and the Hollywood Foreign Press Association.” The Golden Globes TV broadcast is the HFPA’s most high-profile and lucrative event, and an industry boycott would be devastating. The HFPA’s troubles were sparked by a report in the LA Times shortly before the most recent Golden Globe awards show, in which the HFPA was accused of a lack of diversity in its membership as well as “ethical lapses” in the way it conducted its business. The organisation’s response, in which it said it would add “Black and other underrepresented professionals to [the] organisation” and improve “transparency” over its voting and membership processes, was deemed inadequate by high-profile film industry campaign group Time’s Up. The HFPA responded to the publicists’ letter with a statement in which it acknowledged it “should have done more, and sooner”, and said it would ensure that “at least 13 per cent of the membership be Black journalists” by the end of the year.",Film industry,OTHERS
179,The Legend of the Stardust Brothers review – 80s Japanese bubblegum pop curio,"A curio that’s lain dormant for many years since it first sashayed on to screens in 1985, this Japanese teeny-bop musical supports the argument that not all cult films need to be revived. Ultimately, some were flops the first time round for good reason. That said, lovers of Asian kawaii culture, camp and Japanese bubblegum pop, which all converge in this confection, are likely to be satisfied. Like so many of pop-tastic exploitation projects (see also the Monkees’ Head), the music comes first and the story splicing it all together a distant second. Musician-impresario Haruo Chikada composed the soundtrack of cheesy, synth-heavy bop and then hired director Makoto Tezuka (son of the famous manga artist Osamu Tezuka, creator of Astro Boy) to string the songs together into a script. Et voila, the confection they came up with this is a self-referential tale of two aspiring pop stars: temperamentally scratchy Shingo (Shingo Kubota) and cooler, albeit mulleted, pretty-boy Kan (Kan Takagi), who are brought together by a record company executive in order to create a commercially compelling duo. Marimo, a random girl they meet at the label’s headquarters, is drafted in to become the head of their fan club, before they even have much of a fan club to start. The songs, a glorious mishmash of genres ranging from sub-Joy Division post-punk to ska beats to moody new wave drones, are fitfully entertaining (with their poorly translated lyrics about topics including maxed-out credit cards, tomato juice and artistic ambition). But it’s all so clumsily assembled and herky-jerky, it gets more irritating than amusing over the long haul. The best bits are where it totally goes off into crazy-town with zombie monsters played by actors in latex masks and then back to (relative) reality as if nothing has happened. • The Legend of the Stardust Brothers is released on 18 March on Mubi.",The Legend of the Stardust Brothers,FILM
180,Slaxx review – killer jeans horror-satire,"The spirit of Roger Corman’s original Little Shop of Horrors lives again in this entirely ridiculous but often amusing and sharp horror-satire from Canadian film-maker Elza Kephart, set in an unbearably cool clothes shop, in which the sales assistants cruise around talking to each other with mic-headsets, but hardly deign to communicate with the customers. Romaine Denis plays Libby, a starry-eyed young woman who is thrilled to have got a job at this store, awed by its visionary CEO and by the company’s commitment to non-exploitative practices and its ethical attitude to the developing-world communities where the clothes are made and where the cotton is grown. But of course it is all nonsense. The company cuts costs with sweatshop contractors in south Asia, and the super-cool jeans that it is bringing in for its new line are in fact haunted by the vengeful spirits of those workers in India who have been injured and killed. And so, for the special evening in which these new garments are to be unveiled at the store to an elite of hipsters and Instagram influencers, the jeans themselves run amok in a bloody orgy of revenge against the first-world fashionistas. It is all very silly, and some of the script and acting are a bit broad (though perfectly consistent with the overall style). The scenes where the jeans come to life like malign reptiles and even start dancing on the shop floor are good; some videos over the closing credits cheerfully reveal the tech wizardry that created these effects. An entertaining skewering of the hidden global politics in retail trendiness. • Slaxx is released on 18 March on Shudder.",The Legend of the Stardust Brothers,FILM
181,Preparations to Be Together for an Unknown Period of Time review – Blow-Up in Budapest,"Here is a puzzle or a riddle of a psychological movie, with distant echoes of Roeg’s Bad Timing or Antonioni’s Blow-Up. A brilliant and beautiful Hungarian neurosurgeon, Márta (Natasa Stork), abandons her career in the United States just shy of her 40th birthday and returns to Budapest. And why? Because she has met a handsome compatriot at an academic conference: János (Viktor Bodó) is a fellow surgeon who romantically arranged to meet Márta at a certain time and date at the city’s Liberty Bridge. But János doesn’t show up, and when Márta tracks him down and confronts him, he merely says with an air of baffled politeness that they have never met. Márta takes a job in Budapest and rents a certain scuzzy apartment because it has a view of the now totemic, or cursed, bridge and begins to stalk János online, even uncovering a video of him as a child winning a singing competition with an arrangement of Schubert’s Trout Quintet. But her career still prospers, with brilliant diagnoses and masterly surgeries, which intrigue János. So what is going on? Is János lying? Is Márta delusional? Or is this her kind of obsession-based “magical thinking” – has Márta imagined what she wants in the future, and made an unconscious decision to behave as if it is the case, forcing the facts to rearrange themselves around her wishes, like iron filings around a magnet? The paradox of the film’s narrative procedure is that it is shown from her point of view, not János’s, and yet it is Márta’s account that the audience is tacitly invited to challenge. The movie can’t quite match the drama – and the shock – of János’s denial of Márta at the very beginning, and the ending ties things up a little neatly. It is at once a relief and an obscure disappointment that the mystery is not left enigmatically unsolved. • Preparations to Be Together for an Unknown Period of Time is released on 19 March on Curzon Home Cinema.",Preparations to Be Together for an Unknown Period of Time,FILM
182,Killing Escobar review – the hard men behind  plot to kill drug lord,"Here’s a documentary that shines a light on squalid corner of British post-imperial legacy: the batches of mercenaries – largely former military personnel – who roamed the world’s trouble spots in the 70s and 80s, killing for hire in numerous civil conflicts in Africa and Latin America. (As this film suggests, these ex-SAS types weren’t politically neutral: they were actively keen on killing communists in places like Angola and Rhodesia.) The film focuses on an escapade that is – ethically speaking – a little less murky than cold war Africa: a plot to assassinate the super-powerful Colombian drug lord Pablo Escobar in the late 1980s. However, since it was organised at the behest of another super-powerful Colombian drug lord, any claims to the moral high ground are not really supportable. The principal interviewees here are Peter McAleese, a former paratrooper who grew up in Glasgow and was responsible for the military activities of the assassination squad, and the somewhat more dapper David Tomkins, the man who organised the contracts and who by his own account moved enormous amounts of arms into conflict zones. McAleese and Tomkins relate the story of their mission efficiently enough. We know it is doomed to fail, as history tells us Escobar was shot dead a few years later, in 1993, by a Colombian police unit. Presumably to crank up the narrative tension, director David Whitney adds a series of reconstruction-flashback scenes of McAleese, alone and injured in the Colombian rainforest. With little signposting, they slow down the film’s momentum, even if we eventually learn where they fit in in the bigger scheme of things. It all seems rather affable until a shipment of weapons turns up: the gun lust on show underscores the abhorrent nature of the enterprise. Rather like a veteran ex-football hooligan, McAleese is heroically frank about his propensity for violence as he fills in his backstory, offering up as evidence his rough Glaswegian upbringing next door to Barlinnie prison (he points out the cell window from which his hardman father would signal when he was doing time). On some level, McAleese’s scorn for his former self is a reasonably creditable attempt to confront the consequences of the destruction he has caused, even if there is an evasiveness about the way he focuses on failings in his personal life rather than his victims, in Africa or elsewhere. At 79, he’s still a scary individual. • Killing Escobar is out now on digital platforms.",Killing Escobar,FILM
183,Russian Raid review – hostile takeover of screens in steroidal martial arts actioner,"Russia’s hooligan set will have a new Friday-night post-pub favourite with this martial arts film, modelled on Gareth Evans’s The Raid. In a literal hostile takeover, former Spetsnaz sniper Nikita (Ivan Kotik) leads a squad of tracksuited casuals into a vodka factory/mafia front on behalf of a shady businessmen (Ilya Antonenko) looking to seize it – but he also has a personal beef with the owner. For reasons half-explained, the squad are forbidden from carrying guns, and the chief heavy (played by real-life MMA fighter Vladimir Mineev) chafes against Nikita’s command from the off. They work their way up through the factory’s security to the C-suite, with much fisticuffs, mostly in the fashionable MMA style – with heavy emphasis on grappling and backhanded slaps that look prissy but probably aren’t. The standout is a corridor-hemmed brawl against three juggernauts wielding a host of medieval weaponry, with director Denis Kryuchkov often keeping us locked in with the combatants with swaying, reeling Steadicam. But introducing firearms halfway through, when the factory’s true owners enter the fray, works to somehow lower the stakes. As more parties become involved, the already poorly defined relationships between the characters become get more confusing – including what white-suited secretary (Sofya Ozerova) is doing there other than providing openings for misogynistic jeopardy. (She’s given an empowering assault rifle later.) The initial tone of impish mayhem shifts into something grim and rote, ill-serving frontman Kotik. Interestingly lithe, aloof and not overly macho, he has obvious star chops – breaking out in some fights into footwork drawn from the Russian folk dancing he does in one childhood flashback. “Balletic” used to be the adjective of choice for John Woo’s action films, and Kotik is clearly primed to deliver this in material that is more than this steroid party. • Russian Raid is released on 22 March on digital platforms.",Russian Raid,FILM
184,Amber and Me review – a moving portrait of a girl with Down’s syndrome,"Here is a humane and undeniably moving documentary about Amber Davies, a girl with Down’s syndrome, filmed over four years as she enters and moves up the school system. An hour in length, and released to coincide with World Down Syndrome Day, it examines her progress through three linked but separate perspectives, bringing together moments of beauty and joy as well as the harsher realities that not even childhood can escape. Olivia, Amber’s neurotypical twin, is a constant presence, showing great maturity, helping her sister with daily tasks and taking time to understand her. We also hear directly from her via voiceover; she doesn’t hide how she feels when she believes her sister has been unjustly treated, and articulates her hopes that Amber will be able to stay in the same school as her. The second perspective belongs to Ian Davies, Amber’s father and the film’s director. A largely off-screen presence, Davies is clearly a loving and encouraging father; it would have been interesting to hear directly from him. But the repeated scenes in which Davies visits his daughter’s play-shop are a nice touch, establishing atmosphere where we can observe Amber’s development for ourselves. Amber’s perspective, of course, takes centre stage, a valuable corrective to the current mire of neurodivergent-as-plot-device in mainstream cinema. The film reminds us that Amber is a fully realised individual, with interests and feelings to explore: she wall-climbs with her father, bakes with her sister and demonstrates an emotional complexity that most media would not appreciate. As the film progresses, we can only root for Amber, happy for her advances and feeling her pain when things stall. A labour of love in the most accurate sense. Amber and Me is released on 21 March on digital platforms.",Amber and Me,FILM
185,Creation Stories review – generic biopic of record label supremo Alan McGee,"“Bottom line, it was fun,” says self-declared Glaswegian ginger bastard Alan McGee (Ewen Bremner). Poolside in LA, the music executive reflects on his label, Creation Records, which ran from 1983 to 1999 and produced acts including the Jesus and Mary Chain, Primal Scream and Oasis. Suki Waterhouse plays a journalist profiling McGee, a framing device that should, in theory, allow the film to rollick through his formative moments and skip over any boring bits. It’s not unfun, exactly, to watch McGee going on an ill-advised coke bender with a sleazy film producer played by Jason Isaacs, ingratiating himself with Tony Blair (James Payton) and taking advice from an occultist (Steven Berkoff) he hallucinates at a house party. Yet the frenetic pacing, intended to sweep the audience along, can’t draw attention away from Irvine Welsh and Dean Cavanagh’s platitude-riddled script. Their key message, to “be a rebel, always”, as underscored in a Trainspotting-lite speech that closes out the film, feels oddly generic.",Creation Stories,FILM
