"    ","Title                                                                                         ",Text,central_entity,type
"360 ","The Swordsman review – thrilling fight scenes in spectacular Korean action drama              ","The Swordsman, a pacy, crisply choreographed South Korean action film set in the 17th century handicaps itself by opting for such a bland, generic title. It’s like naming a Hollywood action movie The Gunman or The Cop. Debutant writer-director Choi Jae-Hoon could have been a little more specific about the protagonist Tae-yul (played by boy-band-beautiful star and sometime rapper Jang Hyuk) by calling it The Blind Swordsman, given the character’s vision impairment. But then that title has already been used several times. Also, Tae-yul is not quite blind yet, although the threat to his vision and his need to access an expensive medicine hang over the plot throughout. As it happens, the intricate tapestry of action, family drama, political intrigue and period spectacle is anything but generic. Unfolding during a period when ruling dynasties in China and Korea were in major flux, the story springboards off the fall of the Joseon dynasty’s 15th king; a disgrace in combat sends Tae-yul, one of the finest swordsmen in the country, into exile with his baby daughter. Several years later, Tae-yul is living in rural isolation up a mountain; his daughter Tae-ok (Kim Hyun-soo) is now a young woman who longs for the finer things in life. The pair venture into society in search of a cure for his worsening eyesight, only to find that invaders from China’s Qing clan, led by Gurutai (Indonesian actor Joe Taslim, all the more menacing for never speaking above a whisper) are raiding the country, carrying away women to be sex slaves. That only covers a fraction of the plot, but the film never feels bogged down with explication and moves swiftly through its 100 minutes. Then again, if you want simply to absorb this as a balletic dumbshow, interspersed with ace fight scenes and populated by people wearing fantastic costumes, it’s just as satisfying an experience. • The Swordsman is released on 17 May on digital platforms.",The Swordsman,FILM
"361 ","The Secrets We Keep review – Noomi Rapace brings light and shade to pulpy drama               ","Set in the late 1950s in a geographically vague American suburban town where fin-tailed cars roll sedately through the streets and women wear dresses shaped like great silent bells, local doctor Lewis (Chris Messina) and his Romanian-born wife Maja (Noomi Rapace) and their grade-school son Patrick (Jackson Dean Vincent) look like everyone else pursuing the American dream. But as the title rather suggests, there are secrets afoot; quite a few in fact. They all start to come out when Maja spots a tall blond man (Joel Kinnaman, in fact, and, like Rapace, originally from Sweden) with just the faintest German accent. Maja is completely convinced this European, who says he’s a Swiss national named Thomas, is really a German named Carl who did unspeakable things towards the end of the war 15 years earlier. At first, she simply stalks him, wearing perfect little 50s sunglasses all the while. As she does so, the soundtrack plays a pastiche of the sort of suspenseful string music one might hear in an Alfred Hitchcock film from the period, like Vertigo or Rear Window or, as suggested by a cinema marquee Maja and the man happen to pass, North by Northwest. It’s heavy thematic nudges like this which rather tarnish some of the subtlety built up elsewhere in the film, where director Yuval Adler and the cast have performed a narrative fan dance, revealing and obscuring bits of backstory and adopting inscrutable expressions that cast doubt on everyone’s motives and veracity. Rapace is particularly good at seeming mysterious, neurotic, vulnerable and terrifyingly focused all at once when all she’s actually doing is smoking a cigarette and standing there. Messina and Kinnaman offer sturdy support and bring light and shade to their own roles just as well. All in all, it’s an engaging if pulpy drama. It’s the same kind conceit as the Costa-Gavras film Music Box – one that keeps the audience wondering if someone is or isn’t a Nazi throughout – and it is in essence a 50/50 coin flip with only two possible outcomes. But the film keeps the coin spinning through the air for a surprisingly long time. • The Secrets We Keep is available on 14 May on Sky Cinema and Now.",The Secrets We Keep,FILM
"362 ","Great White review – hangry shark thriller gets stuck in the shallows                         ","This Australian survival thriller gives us another global warming threat to worry about – hangry sharks. When a great white the size of a 4X4 starts chomping through holidaymakers, marine biologist Charlie (Aaron Jakubenko) is perplexed. Shark season is over – what’s it doing hanging about in Aussie waters? Might it have something to do with rising ocean temperatures, he wonders, or the shrinking fish population? Or maybe it’s the way that director Martin Wilson films human legs dangling so temptingly in the water? This is a killer shark movie with a semi-decent CGI great white, a predictable survival storyline, and all the familiar trappings: the pointed fin gliding menacingly towards dinner, the sea turning red, that creaky lurching sound of a boat bobbing on the ocean, signalling the calm before the attack. Charlie is actually a retired marine biologist, after being bitten by a shark. Now he works with his girlfriend Kat (Katrina Bowden), taking holidaymakers to beauty spots in their little seaplane. Business is sluggish but luckily a last-minute job comes their way, flying rich investment banker Joji (Tim Kano) and his wife Michelle (Kimie Tsukakoshi) to a remote bay. Clunkily, the script sets up tensions that will escalate later. Joji clashes with Benny (Te Kohe Tuhaka), the chef hired to cater the trip; Kat tells Charlie she’s pregnant. From these scenes you can predict the order of the shark’s menu. As soon as the seaplane lands on a beach, the five stumble over shark leftovers, the half-eaten remains of a young man. Foolhardily, they set off to look for his boat and survivors. Needless to say, they find the boat and with it the shark, who makes short shrift of their seaplane. Such is the ravenous appetite of this killing machine, it had me Googling the eating habits and metabolic rate of sharks. You may find yourself nail-biting – out of boredom rather than fear. • Great White is released on 17 May on digital platforms.",Great White,FILM
"363 ","Oxygen review – air runs out for claustrophobic survival nightmare                            ","Here is a single-location mystery thriller from first-time feature screenwriter Christie LeBlanc which is more than a bit on the preposterous side. It requires some hefty levels of disbelief suspension and plausibility buy-in. But the excellent Mélanie Laurent (from Quentin Tarantino’s Inglourious Basterds) sells it hard, and it’s a rather elegant contrivance, more restrained than usual from this director, the shlock-horror specialist Alexandre Aja. Laurent plays a woman who wakes up enclosed in a cryogenic hi-tech pod, slightly bigger than a coffin, surrounded by screens and readouts, hooked up to various life-support wires. She can’t remember who she is or why she is there, although she is almost immediately plagued with traumatised flashbacks of being rushed into hospital. Or is she rushing someone else into hospital? She can’t move. She can’t get out. And, increasingly, she can’t breathe. She realises that her oxygen levels will last only around a 100 minutes, the length of the film, in fact, which plays out in real time. And her only friend, the only one who can help her in this claustrophobic nightmare, is the velvety Hal-type voice of the controlling computer, drolly provided by Mathieu Amalric, which in time-honoured style is inscrutable, but with a hint that it knows more and could do more than it is letting on. It’s a high-concept script that reminded me a little of Rodrigo Cortés’s Buried from 2010, which the camera got up close and personal with Ryan Reynolds, who is buried alive – a metaphor for American involvement in Iraq. In some ways, this is a film for the Covid-lockdown era, although claiming its “oxygen” theme as contemporary commentary would not perhaps be in great taste. In some ways, this works better without the metaphorical reading – as just a far-fetched, but quite ingenious entertainment, with some bold climactic touches. • Oxygen is on Netflix.",Oxygen,FILM
"364 ","Some Kind of Heaven review – trouble in retirement paradise                                   ","“After my wife passed, I started nightclubbing.” The speaker is a resident of The Villages in Florida, the US’s largest retirement community, home to 130,000 wealthy boomers. The town has more than 50 golf courses and offers endless leisure opportunities, from bellydancing to karate, synchronised swimming to rowing. However, if this documentary is anything to go by, the town’s number-one hobby is dating. Director Lance Oppenheim takes a gentle approach, capturing some hilarious moments, but there’s nothing patronising or mean-spirited about his film. You could make an entire reality TV series about The Villages. Oppenheim keeps it simple with a handful of profiles. Anne and Reggie have been married for 47 years, but since retiring Reggie has been behaving erratically, taking up t’ai chi and hardcore hallucinogenics. Footage of him in court on possession charges is priceless. “When we got married, he wasn’t so unique,” says Anne diplomatically. Barbara from Boston is newly widowed and lonely. Then there is Dennis, an 81-year-old lothario with a leathery tan and a gold necklace. Dennis is not technically a Villages resident – he’s broke and lives in a camper van while trying to hook “a nice looking lady with some money”. Sidling over to a group of women by the pool, he looks like a jaunty, suntanned lizard. Sensibly, most of them give him a wide berth. Dennis used to be a showbiz handyman. “I did some work for President Ford,” he says to a woman who rolls her eyes. Give George Clooney 20 years and you could imagine him playing Dennis. One resident says that the American dream is a happy retirement. Anne is more circumspect. “We live in a bubble. It’s not the real world.” But the documentary was filmed before the pandemic, and in the past year there have been news reports of coronavirus test and vaccine shortages in The Villages. Also in 2020, Donald Trump tweeted a video that went viral of a resident shouting “white power”. The real world has arrived in The Villages. A sequel please. • Some Kind of Heaven is released on 14 May on digital platforms.",Some Kind of Heaven,FILM
"365 ","Justice League, zombies and Rod Stewart: post your questions for director Zack Snyder","In next Friday’s Guardian, Zack Snyder – one of the most successful and sometimes most polarising directors of the modern age – will be answering questions from friends, peers and Guardian readers. That’s where you come in. What would you ask the man who directed Legend of the Guardians: The Owls of Ga’Hoole and Sucker Punch as well as DC whoppers such as Watchmen, 300, Man of Steel, Batman vs Superman: Dawn of Justice (he also produced Suicide Squad, Aquaman and Wonder Woman)? Snyder was also the man who quit 2017’s Justice League after the death of his daughter, saw Joss Whedon take it over and deliver a flop that Snyder was advised by his wife and co-producer Christopher Nolan never to see, before a fan lobbying campaign prompted Warner to finish and release the so-called Snyder cut, a four-hour corker that became the unlikely hit of lockdown. This month, Snyder’s belated followup to his debut, Dawn of the Dead (2004), premieres on Netflix. Zombie thriller Army of the Dead stars Dave Bautista as the leader of a gang who aim to clean out a Las Vegas casino vault before the city is nuked on account of the zombie pandemic. An anime TV spin-off is already in the works as is a big-screen prequel. Other future projects may – or may not – include a 300-style actioner about George Washington and an adaptation of Ayn Rand’s The Fountainhead. On top of all that Synder has directed music videos for ZZ Top, Rod Stewart, My Chemical Romance and, er, Morrissey. He is also a substantial fundraiser for suicide prevention and mental health awareness. Earlier this year, he worked with Save the Children to build a huge temporary hospital in Delhi to help fight Covid. We need your questions by the end of the weekend – so get thinking, rewatching and typing! Comments close 11pm BST Sunday 16 May. Army of the Dead is on Netflix from 21 May.",Zack Snyder,FILM-CREW
"366 ","Maya the Bee 3: The Golden Orb review – pants ants antics                                     ","As cinemas reopen in England, normal service resumes in the world of little kids’ films. First up for the under-fives is Maya the Bee 3, the latest instalment of the sappy, sentimental franchise from Australia. In the new movie plucky little bee Maya (voiced by Coco Jack Gillies) and her best friend Willi (Benson Jack Anthony) get lumbered with transporting a golden egg to the ant colony at Bonsai Peak. Of course, the egg cracks en route, leaving the pair holding the ant baby – an adorable squidge they nickname Schmoosh. Cue some ant nappy-changing and lessons about responsibility. Weirdly, there is next to nothing specific about bees; with a little tweak here and there in the script, you could substitute bees for chipmunks or dinosaurs. The baby ant, it turns out, is a princess who is destined to become ruler of the colony. But a knucklehead, turbo-charged beetle with a six pack called Bumbulus (Christian Charisiou) tries to kidnap her so that he can run the ants off the mountain. Like the Incredible Hulk of the insect world, he bounces through the undergrowth with his goons. The film is bright and sunny, and the sense of life at ground level is nicely done in places. Everyone in this world is food for another creature; even the beetles cower when a cute little birdie swoops in looking for breakfast. Still, it’s cheap-looking and dismally low on fun. The novelty of being in an actual cinema should sell it to the tinies. Parents will probably find themselves reaching for their phones. • Maya the Bee: The Golden Orb is released in cinemas on 17 May.",Maya the Bee 3: The Golden Orb,FILM
,"Servants review – stylish iron curtain noir                                                   ","A car parks beneath an underpass; a body is dumped in the middle of the road. The opening scene of director Ivan Ostrochovský’s stylish political thriller, co-written with Rebecca Lenkiewicz and Marek Lescák, plays like a film noir, with its high-contrast monochrome cinematography and empty, rain-slicked streets. The Czech film-maker’s second feature is set in 1980, three decades into then-Czechoslovakia’s communist rule. Teenage students Juraj (Samuel Skyva) and Michal (Samuel Polakovic) swap their sweater vests for cassocks at a seminary, not yet realising that it has been infiltrated by the regime. The dean (Vladimír Strnisko) and his students are watched closely by Doctor Ivan (a menacing Vlad Ivanov), even though the dean is a member of Pacem in Terris, the real-life association of priests who collaborated with the state. Some of the young men quietly rebel, producing pamphlets and contacting the Vatican in secret. The chilling image of a heap of confiscated typewriters – 64 of them – piled in the back of a truck is a potent assertion that personal ethics and independent thought pose a genuine threat to authoritarian rule. Ostrochovský’s camera emphasises the constricting architecture of both church and state, with its black and white morality and a claustrophobic central courtyard, frequently portrayed via stiff, judgmental God’s-eye shots. • On Curzon Home Cinema",Servants,FILM
"368 ","Those Who Wish Me Dead review – Jolie smoulders in predictable thriller                       ","Angelina Jolie is almost believable as Hannah, a damaged, foul-mouthed firefighter stationed in a Montana forest, where she must protect 12-year-old Connor (Finn Little), whose father is being pursued by two very efficient hitmen (Aidan Gillen and Nicholas Hoult). Director Taylor Sheridan (Wind River) plays to Jolie’s streak of wildness, but even in smoke-smudged makeup and Carhartt trousers she looks a little too much like a movie star. That’s possibly part of the pleasure of this popcorn movie, which starts strongly as a tense action thriller. Unfortunately, the second half is over-reliant on flashy disaster set pieces, blazing towards a predictable, melodramatic conclusion. • In cinemas from 17 May",Those Who Wish Me Dead,FILM
"369 ","Some Kind of Heaven review – a deadpan eye on Florida’s retirees                              ","“You don’t come here to die, you come here to live!” cheers one of the residents of the Villages, in Florida. The postcard-perfect community of some 120,000 old folks has been called Disneyland for retirees, and is the subject of Lance Oppenheim’s spry, occasionally surreal documentary. The film hones in on four idiosyncratic characters: grumpy widow Barbara, recreational drug enthusiast Reggie and his long-suffering wife Anne, and gold-digger Dennis, who lives in his van and works the Villages’ bars and swimming pools hoping to pick up a moneyed mistress. A scene in which Oppenheim gathers a room full of smiling women all called Elaine is straight out of a David Lynch movie. It’d be easy to mistake the director’s deadpan observation for mocking, but the space he holds for the darker aspects of his characters’ individual stories helps to puncture any cultivated cutesyness. On multiple digital platforms",Some Kind of Heaven,FILM
"370 ","Homewrecker review – suburban hostage caper is a cheerier Misery                              ","It’s a pity this Canadian comedy-horror is too crudely put together to comfortably straddle its two genres, because it contains some zesty bursts of invention and bright performances from its leads. Precious Chong, who co-writes with director Zach Gayne and co-star Alex Essoe, takes one for the team with her unlikable role: belligerently perky fortysomething singleton Linda, who imposes herself on interior designer Michelle (Essoe) while in a coffee shop. Somehow, Linda’s invasive questions about Michelle’s baby-making plans doesn’t stop the latter agreeing to remodel Linda’s house – and heading straight round for a look-see. What starts as a teeth-grating test in how Michelle can politely extricate herself (Linda insists on pre-midday cocktails), turns into a suburban hostage-taking. Chong – with her sociopathic chat, hairpin mood-swerves and neediness – is like a Lycra-clad version of Misery’s Annie Wilkes. But this suspense-free film is not deft enough to turn the dial back and forth, as Rob Reiner’s film did, between scary, absurd and blackly comic. Instead, it plays the abduction 100% bubbly, even during bouts of awkwardly staged violence. If this hobbles the film, Homewrecker is at least adept at devising new torments for Michelle, including one scene in which Linda forces her to play throwback 80s boardgame Party Hunks. This encapsulation of her time-capsuled emotional life leads to reflections on honesty in relationships and life, and there is something endearing about how doggedly Homewreckers pursues this theme. But fundamentally, it never finds a convincing pitch. A tone-deaf musical score that drenches everything – pained comedy, catty exchanges, brawling – in guitar reverb, really doesn’t help. Homewrecker is released online on 24 May.",Homewrecker,FILM
"371 ","Death Will Come and Shall Have Your Eyes review – a strangely comforting end                  ","Chilean film-maker José Luis Torres Leiva’s new drama is a thoughtful treatment of terminal illness. It gets under the skin and into the thoughts of two women: a couple, and one of them is dying of cancer. Torres Leiva wrote the script after losing three friends to the illness. His film is anti-sentimental, a tough watch, as they say; the kind that can leave you feeling a little fragile. But it’s sensitive, too, and beautifully acted. Ana (Amparo Noguera) and María (Julieta Figueroa) are in their 40s. The film opens with the two of them in a car. María in the passenger seat gently instructs driver Ana to close her eyes, and for a tense moment Ana drives blind, scared. Afterwards, we discover that María has terminal cancer. What was she doing in that moment in the car? Giving Ana a glimmer of her own terror of the darkness? We watch as the women pack up their apartment in the city and move to a cabin in the forest, where María has chosen to die. Not much is said; the dialogue would probably fit on to a dozen or so typed pages. Torres Leiva is more interested in the emotional weather, the way the two women gaze at each other, or a hand resting on a shoulder. In the bath, María loses her temper with Ana for treating her like a child, and rages at her illness. Two sizable digressions in the middle spoil the film a little. One dramatises a strange fairytale María tells about a naked feral girl living alone in the forest; the other is a family story about her uncle. Both felt a bit generically arthouse, slightly awkward experiments. Overall, it’s a tough watch but in its way gently reassuring. As it can be in life, watching people living with death is strangely comforting – it makes it feel doable somehow. • Death Will Come and Shall Have Your Eyes is available on 19 May on Mubi.",Death Will Come and Shall Have Your Eyes,FILM
"372 ","Why Not You review – a hollow depiction of homophobic violence                                ","Here’s yet another film that falls disappointingly flat when the film-makers are more preoccupied with delivering topical messages than outlining nuanced characters. Why Not You tries hard to comment on a mosaic of issues – homophobia, addiction, PTSD, religious extremism – yet ends up hollow and emotionally vapid. The debut feature from Evi Romen, a seasoned film editor, the film’s visual flair sometimes makes up for the jumbled plot, which follows Mario (Thomas Prenn), an aspiring queer dancer at odds with his conservative community in the primarily German-speaking South Tyrol, Italy. With a penchant for wigs and nail polish, he dreams of bigger cities and the personal freedom they promise. Tragedy strikes on a trip to a gay bar in Rome with Lenz (Noah Saavedra), a close friend with whom Mario shares an intense sexual tension. Islamic extremists open fire on the patrons; Lenz dies while Mario survives. Grief, coupled with intense guilt, sends Mario spiralling further into a cycle of addiction until he crosses path with a local Muslim community willing to rehabilitate the self-destructive man. Despite dealing with a host of hot-button subjects, the film has a cavalier approach that borders on distastefulness. In the aftermath of the terrorist attack, the camera glides leisurely around the gay bar, showing lifeless, bloody bodies artistically placed among the destruction. Regardless of how cinematic this looks, aestheticising violence against queer people is morally questionable. The Muslim characters also come off as deeply simplistic: they are either terrorists or benevolent agents, all mere plot points for the white protagonist’s character development. While the shortcomings are numerous, the film does feel authentic in how it captures the landscape and the spirit of the South Tyrol, an environment rarely inspected by cinema. Such attention and care, alas, does not extend to the film’s emotional and political issues. • Why Not You is released on 24 May on digital platforms.",Why Not You,FILM
"373 ","The Dog Who Wouldn’t Be Quiet review – a mini masterwork                                      ","Give this movie 73 minutes, and it will give you the world … somebody’s world, anyway. Argentinian film-maker Ana Katz has created an intriguing and beguiling little black-and-white drama that’s punching way above its weight. It’s a series of scenes or vignettes, like a collection of short stories, each about the same person, a little older each time. This is Sebastián, or Sebas, a gentle, laid-back man in his 30s, played by the director’s brother Daniel Katz. Sebas is an intelligent guy, a graphic designer, trained in the use of Adobe Illustrator, but now trying to get temp jobs, made more difficult because he’s not allowed to take his dog into the office, and leaving him at home makes the poor thing howl with misery so much that the neighbours are upset. Sebas gets work as a carer, then with a co-operative group selling vegetables from a truck, then he appears to be podcasting about inequality. He meets a woman at his widowed mum’s second-time-around wedding, and things develop romantically. His life rolls on, or rather, it proceeds in little forward hops. In some scenes he’s got short hair, in some scenes it’s long; sometimes he’s got a beard and sometimes no beard. Each scene is hardly more than a dramatised glimpse, an extended closeup, a fragment of a life – but Katz makes the part stand for the whole with masterly, understated skill. And just when you think this is going to be an essentially parochial tale, Katz takes us into what might be sci-fi, or brilliant prophecy. The fall of a meteor creates a health emergency requiring people to wear astronaut-type respirator helmets if they want to walk upright (the air is not breathable unless you hunch down like Groucho Marx). This film is enigmatic and yet very digestible, deadpan in its comedy and so insouciant and casual in its form, you might almost think that Katz had written it in five minutes, filmed it in a week. There is real artistry here. • The Dog Who Wouldn’t Be Quiet is released on 21 May on Curzon Home Cinema.",The Dog Who Wouldn’t Be Quiet,FILM
"374 ","Radhe review – Salman Khan blockbuster is a cheap dash through the fight tropes               ","What was originally scheduled as India’s big Eid blockbuster for May 2020 is opening a year later in cinemas everywhere but India itself, where it came out on streaming platforms last weekend. In his guise as producer-megastar, musclebound Salman Khan has dispatched his minions to hollow out the taut narrative chicanery of 2017’s Korean thriller The Outlaws and reconfigure its carcass into the kind of flattering vehicle only a powerful Bollywood leading man can command. Despite some early welcome flickers of the kind of self-awareness that’s crept into Khan’s projects over the past half-decade, the result is very much back-to-basics. The more knowing nonsense only serves to make the eventual slump into third-rate pummelling more dispiriting. Most of that nonsense, which prompts fitful back-row giggles, concerns Khan’s indomitable hero cop Radhe. “He has his own methods of working,” insists one of the Mumbai police chiefs recruiting him to protect the city’s youth from straggle-haired druglord Randeep Hooda. These include: never entering via the door when he can leap face-first through a glass window, manifesting in multiple locations simultaneously so as to better box his quarries’ ears, and – less amusingly – casually torturing suspects. A chance encounter with poster-girl Diya (Disha Patani) encourages our man to try male modelling; this love interest, naturally, turns out to be the sister of Radhe’s ever more exasperated CO (Jackie Shroff). Don’t ask about the 35-year age gap between these siblings; no one behind the camera clearly bothered. While a jocular, self-mocking Khan is still preferable to the puppy-eyed sentimentalist who made 2017’s Tubelight and 2019’s Bharat such ordeals, there’s an awful lot of self to mock here, and not nearly enough craft to counterbalance that ego. Hired to glam up an expensive-looking nightclub number, guest star Jacqueline Fernandez gets elbowed out of sight once Radhe storms the stage to prat around. Quality control gets shoved off soon after. One bathroom punch-up is shot on such cheap, smeary digital it resembles rehearsal footage. Even the fun stuff is low-grade and limited, because our guy’s heroism is forever meant to be taken as sacrosanct. Director Prabhu Deva’s cursory dash through the not-so-grand finale suggests he clearly wanted it over; you may do, too. • Radhe is released in the UK on 17 May in cinemas.",Radhe,FILM
"375 ","Redoubt review – Matthew Barney’s mysterious, mythical movie-ballet","Redoubt is a wordless outdoor movie-ballet inspired by the huntress myth of Diana, set in the forested wilderness of Idaho’s Sawtooth mountains and brought to us by artist and film-maker Matthew Barney, whose most famous work is probably his colossal five-film sequence, the Cremaster Cycle. Cremaster was a headspinningly gigantic folie de grandeur spanning six hours in total, inspired by the interrelation of biology and creativity. Redoubt is a more modest two-and-a-quarter hours, part of an art installation including sculptures and engravings, originally commissioned by Yale University. Barney plays a hardy outdoorsman, an engraver who hikes around the wilderness, making etchings on an engraving plate; his redoubt appears to be a modest trailer which he shares with a woman (KJ Holmes), perhaps his wife or partner, who electroplates the resulting work in a chemical bath. But the engraver is in a mysterious state of antagonism, or at least wary coexistence, with three women in the forest who are hunting wolves: Diana (played by real-life sharpshooter and NRA member Anette Wachter), and her “Calling Virgin” and “Tracking Virgin” (played by the dancers Eleanor Bauer and Laura Stokes) who are dressed in camo, carry serious rifles and hardware; the Virgins go into strange, showy dance moves in the snow (which, it has to be said, rather negates the importance of camouflage and not revealing yourself to the prey). Wolves and other animals get shot, though a final note on the credits assures us that this is just an effect. Could it be that the engraver himself is destined, like Actaeon in the myth, to be the prey? It is a handsome-looking film, with a strange and compelling soundtrack by Jonathan Bepler. Redoubt is about humanity’s relationship with nature and the business of hunting itself (and the presence of gun enthusiast Wachter implies that the film can’t be interpreted as straightforwardly opposed to hunting). I wondered how much really was being said, in the end, but Barney has a bold and distinctive style. • Redoubt is released on 20 May on Mubi, and is also screening on 19 May-25 July at Matthew Barney: Redoubt at the Hayward Gallery, London.",Redoubt,FILM
"376 ","The Auschwitz Escape review – death camp’s secrets uncovered in powerful drama                ","In 1944, two Jewish Slovaks, Rudolf Vrba (Peter Ondrejička) and Alfred Wetzler (Noel Czuczor), both of them prisoners at Auschwitz-Birkenau, hide in some wooden pallets and wait for a moment to escape. Carrying documents that will prove what is really happening in the extermination camp, they manage to make it through the fence and into the forest, an escape that precious few managed. Meanwhile, those who stayed behind, some of whom risked their lives to help Vrba and Wetzler escape, are cruelly punished by the camp guards. This dramatised account of a true story plays like a grim high-stakes thriller as we root for the two men to make it over the border. Their names may be unfamiliar, but even for those who know about the Auschwitz Protocols – a report to which the pair contributed that has a weighty legacy in Holocaust history – the film is still intensely impactful. Inevitably, it is profoundly upsetting and disturbing. Nevertheless, Slovak director Peter Bebjack has managed to make a film that relates this chapter of history in a new way, employing inventive cinematic techniques to present the material. For instance, Bebjak and cinematographer Martin Ziaran often film the action with an upside-down camera, thus mimicking the point of view of the protagonists. The colours are all bleached out to a near monochrome palette, soggy and grey as the Polish mud. Elsewhere, flashbacks and dreams intermingle to keep you always a little off balance. Long takes track slowly through scenes of horror, and a few sequences take place in a darkened room where hundreds of naked corpses are stacked up like lumber. It is particularly upsetting that this last setting is barely noticed by the characters as they go about their business, as if they see this sort of thing every day. The acting is extraordinary throughout, especially from the two leads, and John Hannah offers a beautifully underplayed cameo as a Red Cross employee who almost can’t believe his ears towards the end of the film. • The Auschwitz Escape is released on 14 May on digital platforms.",The Auschwitz Escape,FILM
"377 ","The 8th review – the stirring story behind Ireland’s pro-choice triumph                       ","Two years after the UK’s remainer liberals lost the EU referendum, Irish campaigners fighting to repeal the constitution’s eighth amendment forbidding abortion showed them how you win this kind of vote: with real passion, real vision and real determination not to take anything for granted. In 2018, Ireland’s pro-choice voters won the referendum handsomely – 66% on a 64% turnout – an inspiring story told in this spirited documentary by Aideen Kane, Lucy Kennedy and Maeve O’Boyle. So many of Ireland’s women, particularly its young women, were infuriated by the years of being told that their experiences, their health and their safety were quite irrelevant compared with those scruples declaimed by thin-lipped reactionaries of church and state. What galvanised the campaign was the horrific story of Savita Halappanavar, the Indian woman who in 2012 died in University Hospital Galway after a septic miscarriage because a termination was not permitted; the pure shame of that event energised the movement. The abortion issue is unique, in secular political terms, for the absolute impossibility of dialogue between the two sides, and in fact the pro-choice activists in this film conform to their side’s traditional unwillingness to spell out their baseline beliefs: the foetus does not become fully eligible for human rights until it is a separate entity and has left the mother’s body. Anti-abortionists believe, on the contrary, that this happens on conception, in the womb. It is a fundamentalist belief that in Ireland has traditionally won the day. But pro-choice women were sick of being lectured and sorrowingly told they were the useful idiots of evil – particularly as this political stance came as part and parcel of a general contempt for women’s rights, of which the Magdalene laundries scandal was another grisly part. Pro-choice activists won with a campaign that declined to go negative, and, indeed, may have benefited from the attraction of its exuberant “Yes” motif. Now they face decades of vigilance to defend their gains. The 8th is released on 25 May in cinemas and on digital platforms.",The 8th,FILM
"378 ","Peter Rabbit 2 tops box office as UK’s reopened cinemas take £2m in three days                ","A strong summer at the UK cinema looks like an increasingly realistic prospect following three impressive days at the box office. Cinemas were permitted to open their doors at 50% capacity on Monday, and film-lovers eager for a fix – or appalled by the weather – showed little hesitancy following seven months of smaller screens. Wednesday’s total was estimated to be around £760,000, up 41% from Tuesday, in part because of 120 Cineworld sites reopening that day, having remained closed on Monday and Tuesday. The three-day total is around £2.8m. Topping the chart is Peter Rabbit 2, the sequel to the 2018 hit, whose release has been long delayed because of the pandemic. Other healthy performers include Nomadland and Godzilla vs Kong, with audiences opting to see them on the big screen despite their availability on streaming platforms. Spiral: From the Book of Saw and The Unholy are also in the Top 5, with the bottom of the Top 10 entirely dominated by Warner Bros titles: Mortal Kombat, Judas and the Black Messiah, Those Who Wish Me Dead, Tom &amp; Jerry and The Little Things. This Friday’s releases include Billie Piper’s anti romcom Rare Beasts, with Disney hoping to woo the half term crowd the following Friday with Cruella, the 101 Dalmatians origins story starring Emma Stone. Cinemas had hoped to see their capacity restrictions lifted on 21 June in line with the wider measures, but questions are now being raised over the feasibility of such actions.",UK cinema,OTHERS
"379 ","Pink: All I Know So Far review – parenting meets perilous pop stardom                         ","The title of this fly-on-the-wall documentary following the pop star Pink and family on her 2018-19 world tour is taken from a recent song in which the Pennsylvanian lung-buster explains her life thus far to her daughter Willow. Traipsing round various European cities, we learn en route that the singer also wrote letters, to be read in the future, to her eldest child on the day she was born and on her first day at kindergarten. Her commitment to her two kids – which goes as far as taking them on tour – is touching, and Pink fans will doubtless be hopping at the prospect of being invited into the domestic circle. But this undemanding work, directed by The Greatest Showman’s Michael Gracey, comes across a bit like another family memento for their own mantelpiece. “Re-sil-ience,” is how Pink chops up a difficult word for her two-year-old, Jameson. Dealing in similarly manageable chunks with the biathlon of parenting and high-end stadium performance that is her life must be the only way of getting through it. The singer is admirably hands-on with both her children (with husband Carey Hart on daddy day care), as well as working out the details of a painstakingly choreographed stage show that at points is close to musical theatre. One interesting point is the physical strain on her: the film points out that the former gymnast often simultaneously sings and performs acrobatics, two activities that pull in different directions. Her wire stunts on show at Wembley stadium, dozens of feet above the arena floor, are truly hair-raising. (Perhaps that explains the coiffure.) But there is little narrative, beyond the Wembley gig approaching; and, more crucially, little conflict, outer or inner. Gracey lets Pink run with too much bland affirmational musing, ranging from the diverse family that is her crew, to the self-actualising lifestyle in which she is raising her children. This all serves to bolster her Streisandesque diva status, but it comes across as a bit self-congratulatory. The fanbase will cheer the fact she has outgrown the self-questioning and fractured home life – cursorily detailed here – from which she made her early career. But that happiness – notoriously difficult to make drama out of – is perhaps left to her songs. • Pink: All I Know So Far is released on Amazon Prime Video on 21 May.",Pink: All I Know So Far,FILM
